time, ax, ay, az, gx, gy, gz, mx, my, mz
   676389670,   -0.00439,    -0.00878,    +0.99918,   +0.11362,    +0.08063,    +0.00122,  -15.66000,   -55.91200,    +0.58000
   676400919,   -0.00586,    -0.01757,    +0.98527,   +0.12095,    +0.07453,    +0.00611,  -16.00800,   -55.27400,    +1.04400
   676412168,   +0.00000,    -0.00659,    +1.00211,   +0.11362,    +0.07697,    +0.00367,  -15.54400,   -55.27400,    +0.81200
   676423420,   +0.00586,    -0.00805,    +0.99698,   +0.10629,    +0.07941,    +0.00244,  -15.83400,   -54.75200,    +1.50800
   676434673,   +0.00073,    -0.01171,    +0.99625,   +0.11240,    +0.07819,    -0.00122,  -16.06600,   -54.81000,    +0.46400
   676445923,   -0.00293,    -0.00878,    +0.99406,   +0.10751,    +0.07819,    +0.00122,  -15.89200,   -55.27400,    +0.63800
   676457174,   +0.00073,    -0.00512,    +0.99332,   +0.10873,    +0.07575,    +0.00000,  -15.02200,   -54.86800,    +0.87000
   676468424,   -0.00586,    -0.00659,    +0.99113,   +0.11606,    +0.07575,    +0.00489,  -15.54400,   -55.68000,    +0.87000
   676479672,   +0.00000,    -0.00952,    +0.99479,   +0.11729,    +0.07941,    +0.00122,  -15.54400,   -55.68000,    +0.87000
   676490920,   +0.00293,    -0.00512,    +0.99332,   +0.11240,    +0.08063,    +0.00244,  -15.95000,   -55.27400,    +1.45000
   676502169,   -0.00220,    -0.00805,    +0.98747,   +0.11362,    +0.07819,    +0.00122,  -15.54400,   -55.85400,    +0.69600
   676513423,   -0.00512,    -0.01098,    +0.99332,   +0.10996,    +0.07697,    +0.00244,  -15.83400,   -55.10000,    +1.21800
   676524673,   -0.00146,    -0.01391,    +0.99772,   +0.11362,    +0.07086,    +0.00244,  -15.54400,   -55.10000,    +1.21800
   676535922,   +0.00146,    -0.00878,    +0.99332,   +0.10996,    +0.07941,    -0.00244,  -15.42800,   -55.04200,    +0.75400
   676547171,   +0.18080,    -0.00952,    +0.99113,   +0.10873,    +0.07453,    +0.00122,  -15.89200,   -54.98400,    +1.33400
   676558419,   -0.00073,    -0.00952,    +0.99479,   +0.11729,    +0.08063,    -0.00122,  -14.67400,   -55.33200,    +1.21800
   676569664,   -0.01098,    -0.00952,    +1.00211,   +0.11484,    +0.07941,    -0.00122,  -14.67400,   -55.33200,    +1.21800
   676580912,   -0.00366,    -0.00805,    +0.98674,   +0.10751,    +0.08186,    +0.00367,  -15.08000,   -54.86800,    +1.45000
   676592161,   -0.00512,    -0.00439,    +0.99772,   +0.11729,    +0.07330,    +0.00244,  -14.79000,   -55.27400,    +1.91400
   676603476,   -0.01098,    -0.01171,    +0.99479,   +0.11729,    +0.07575,    +0.00000,  -15.31200,   -54.46200,    +1.50800
   676614733,   +0.00146,    -0.00659,    +0.99772,   +0.11729,    +0.07575,    +0.00122,  -15.13800,   -55.21600,    +1.33400
   676626006,   -0.00732,    -0.00732,    +0.98747,   +0.11240,    +0.07086,    +0.00122,  -15.25400,   -55.21600,    +1.91400
   676637255,   +0.00220,    -0.00952,    +0.99113,   +0.11118,    +0.07453,    -0.00122,  -15.37000,   -55.10000,    +1.74000
   676648505,   -0.00073,    -0.01098,    +0.99845,   +0.11118,    +0.07453,    +0.00000,  -14.44200,   -55.21600,    +1.33400
   676659780,   -0.00220,    -0.00805,    +0.99625,   +0.10751,    +0.08186,    -0.00244,  -14.44200,   -55.21600,    +1.33400
   676671028,   -0.01244,    -0.01464,    +0.99186,   +0.10996,    +0.07575,    +0.00244,  -15.19600,   -55.39000,    +1.62400
   676682285,   -0.00220,    -0.01025,    +0.99772,   +0.11118,    +0.07941,    +0.00000,  -15.54400,   -55.21600,    +1.45000
   676693530,   -0.00439,    -0.01171,    +0.99332,   +0.10996,    +0.08063,    +0.00367,  -15.02200,   -55.33200,    +0.92800
   676704802,   -0.00952,    -0.01171,    +0.99479,   +0.11240,    +0.07575,    +0.00367,  -15.13800,   -54.52000,    +0.75400
   676716048,   -0.00732,    -0.00805,    +0.99991,   +0.10873,    +0.06842,    +0.00367,  -15.19600,   -54.81000,    +0.98600
   676727292,   -0.00293,    -0.01537,    +0.99625,   +0.10629,    +0.07941,    +0.00489,  -14.73200,   -54.81000,    +0.92800
   676738538,   +0.00439,    -0.01098,    +0.98747,   +0.10629,    +0.07330,    +0.00000,  -14.21000,   -54.46200,    +1.16000
   676749786,   -0.00512,    -0.00805,    +0.99625,   +0.11484,    +0.08063,    +0.00000,  -14.21000,   -54.46200,    +1.16000
   676761033,   -0.00220,    -0.00659,    +0.98820,   +0.11484,    +0.07575,    -0.00122,  -14.73200,   -54.86800,    +0.98600
   676772280,   +0.00073,    -0.01464,    +0.98966,   +0.11851,    +0.07697,    +0.00122,  -15.83400,   -54.81000,    +0.52200
   676783526,   +0.00220,    -0.01098,    +0.98747,   +0.11362,    +0.07697,    +0.00244,  -15.08000,   -55.21600,    +0.98600
   676794816,   +0.00146,    -0.00439,    +0.99845,   +0.10873,    +0.08063,    +0.00244,  -15.19600,   -55.04200,    +1.50800
   676806062,   -0.00439,    -0.00952,    +0.99625,   +0.11484,    +0.07819,    -0.00122,  -14.79000,   -54.92600,    +1.21800
   676817337,   -0.00586,    -0.01098,    +0.99845,   +0.11729,    +0.07819,    +0.00489,  -15.08000,   -55.39000,    +1.27600
   676828589,   -0.00293,    -0.00512,    +0.98893,   +0.11118,    +0.07575,    -0.00244,  -14.15200,   -55.10000,    +1.04400
   676839836,   -0.00220,    -0.00732,    +0.99845,   +0.10751,    +0.07575,    +0.00367,  -14.15200,   -55.10000,    +1.04400
   676851080,   -0.00805,    -0.00732,    +0.99625,   +0.11118,    +0.07697,    +0.00122,  -14.61600,   -54.69400,    +1.16000
   676862349,   +0.00146,    -0.01025,    +0.99479,   +0.11362,    +0.07208,    -0.00122,  -14.73200,   -55.33200,    +1.50800
   676873593,   +0.00220,    -0.00366,    +0.99113,   +0.11240,    +0.07819,    +0.00244,  -15.13800,   -55.04200,    +0.29000
   676884856,   -0.00878,    -0.01244,    +0.99186,   +0.11240,    +0.07453,    +0.00122,  -15.37000,   -54.92600,    +1.45000
