time, ax, ay, az, gx, gy, gz, mx, my, mz;
     69036l,   -0.01416,    -0.00195,    +1.03027,   -0.00639,    -0.00106,    -0.01064,   -0.18105,  +4686.60059,   -35.44571
     69036l,   -0.02930,    -0.01660,    +1.02148,   -0.01171,    -0.01809,    -0.00745,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.02246,    -0.02051,    +1.05078,   -0.01171,    -0.01277,    -0.00639,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.01367,    -0.01611,    +0.99854,   -0.01277,    -0.00851,    -0.00745,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.01221,    -0.01172,    +1.03711,   -0.01809,    -0.01277,    -0.00958,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.01172,    -0.01465,    +1.01172,   -0.01490,    -0.00639,    -0.00532,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02441,    -0.01123,    +1.02441,   -0.01596,    -0.01171,    -0.01171,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02539,    -0.01807,    +1.01074,   -0.00745,    -0.01171,    -0.00639,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01172,    -0.00635,    +1.02637,   -0.01277,    -0.01064,    -0.00958,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02490,    -0.01904,    +0.99463,   -0.01171,    -0.01703,    -0.01277,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01514,    -0.00439,    +1.03564,   -0.01064,    -0.01383,    -0.00532,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02393,    -0.01807,    +1.00342,   -0.01277,    -0.01064,    -0.00851,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01807,    -0.01855,    +1.04785,   -0.00958,    -0.00958,    -0.00745,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01758,    -0.01025,    +1.01660,   -0.01064,    -0.00958,    -0.00745,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01416,    -0.01465,    +1.01904,   -0.01703,    -0.01277,    -0.00958,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02295,    -0.01123,    +1.01514,   -0.01383,    -0.00639,    -0.00532,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01611,    -0.01514,    +1.02930,   -0.00851,    -0.01383,    -0.01064,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01123,    -0.01514,    +1.02539,   -0.01383,    -0.01171,    -0.01277,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01172,    -0.00635,    +1.04590,   -0.01383,    -0.00745,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01904,    -0.01416,    +1.01514,   -0.01064,    -0.01277,    -0.00851,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01367,    -0.00098,    +1.04102,   -0.01277,    -0.00958,    -0.00639,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02979,    -0.00977,    +1.03125,   -0.01277,    -0.00958,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02148,    -0.01025,    +1.02100,   -0.01277,    -0.01064,    -0.01171,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02002,    -0.00684,    +1.00879,   -0.01490,    -0.01383,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02246,    -0.00195,    +1.02734,   -0.01383,    -0.00851,    -0.00639,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01416,    -0.01709,    +1.01270,   -0.01490,    -0.00745,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01660,    -0.00635,    +1.04004,   -0.00958,    -0.00958,    -0.00851,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02490,    -0.00879,    +1.04395,   -0.00958,    -0.01171,    -0.01277,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02246,    -0.01123,    +1.02002,   -0.01490,    -0.01064,    -0.00851,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.02881,    -0.00732,    +1.02686,   -0.00958,    -0.01171,    -0.00958,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01318,    -0.00635,    +1.02930,   -0.01171,    -0.01277,    -0.00851,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01611,    -0.01562,    +1.00195,   -0.01277,    -0.01171,    -0.00745,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01758,    -0.00684,    +1.01367,   -0.01490,    -0.00851,    -0.01490,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01367,    -0.01562,    +1.01758,   -0.01277,    -0.01596,    -0.00745,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.02051,    -0.01123,    +1.00000,   -0.00958,    -0.01171,    -0.01064,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01367,    -0.00879,    +1.02490,   -0.01490,    -0.01064,    -0.00958,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01562,    -0.00781,    +1.03320,   -0.01064,    -0.00639,    -0.00958,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01416,    -0.01221,    +1.02002,   -0.01171,    -0.01064,    -0.00851,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01562,    -0.01514,    +1.00732,   -0.00958,    -0.00532,    -0.00532,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01758,    -0.00488,    +1.02881,   -0.00851,    -0.01064,    -0.00745,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.02246,    -0.01025,    +1.03516,   -0.01277,    -0.01596,    -0.00851,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.01562,    -0.01514,    +1.02100,   -0.01064,    -0.01064,    -0.00851,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.01562,    -0.01611,    +1.01660,   -0.00851,    -0.00851,    -0.00851,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.02002,    -0.01270,    +1.01611,   -0.01064,    -0.01809,    -0.00851,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.02051,    -0.01660,    +1.01953,   -0.01703,    -0.01383,    -0.00532,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.01611,    -0.01172,    +1.02197,   -0.01490,    -0.00745,    -0.00745,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.01562,    -0.01221,    +1.02051,   -0.01277,    -0.01171,    -0.00745,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.02588,    -0.01318,    +1.01660,   -0.01703,    -0.00745,    -0.00958,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.01318,    -0.00000,    +1.02734,   -0.01171,    -0.00639,    -0.00958,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.01514,    -0.00586,    +1.01855,   -0.01277,    -0.00745,    -0.00639,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.01221,    -0.00537,    +1.02197,   -0.01277,    -0.01064,    -0.00532,  -21.54551,   -42.90996,   -36.49336
     69036l,   -0.00928,    -0.01123,    +1.03516,   -0.01171,    -0.01064,    -0.00532,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.01172,    -0.01758,    +1.02832,   -0.01277,    -0.01171,    -0.00639,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.01367,    -0.01514,    +1.03467,   -0.01171,    -0.00958,    -0.00426,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.02051,    -0.01465,    +1.02441,   -0.01703,    -0.00532,    -0.00851,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.00830,    -0.00146,    +1.01074,   -0.01171,    -0.01171,    -0.01064,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.01172,    -0.01465,    +1.02734,   -0.01171,    -0.00958,    -0.01171,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.02148,    -0.00049,    +1.03711,   -0.00745,    -0.01383,    -0.00426,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.02197,    -0.01074,    +1.01660,   -0.01916,    -0.01383,    -0.00426,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.02246,    -0.00537,    +1.02441,   -0.01171,    -0.01703,    -0.00532,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.01074,    -0.01270,    +1.03125,   -0.01064,    -0.01809,    -0.00851,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.01611,    -0.01123,    +1.01465,   -0.01277,    -0.00745,    -0.00639,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.01172,    -0.00000,    +1.02930,   -0.01171,    -0.01171,    -0.00745,  -21.90762,   -42.90996,   -36.49336
     69036l,   -0.00928,    -0.01611,    +1.02588,   -0.01703,    -0.01064,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00684,    -0.00537,    +1.01807,   -0.00958,    -0.00851,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.00732,    +1.01416,   -0.01064,    -0.01277,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.01025,    +1.03076,   -0.01490,    -0.01490,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.01074,    +1.02539,   -0.01277,    -0.00958,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.01270,    +1.02295,   -0.01277,    -0.00851,    -0.01171,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02148,    -0.00635,    +1.03955,   -0.01383,    -0.01490,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01660,    -0.00732,    +1.02686,   -0.01490,    -0.01277,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02051,    -0.01270,    +1.01318,   -0.00958,    -0.00639,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.01270,    +1.00928,   -0.01490,    -0.01277,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02295,    -0.01562,    +1.03125,   -0.01383,    -0.01490,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02002,    -0.01270,    +1.03271,   -0.00958,    -0.01171,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.01514,    +1.02148,   -0.01383,    -0.01064,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01172,    -0.01611,    +1.02930,   -0.01596,    -0.00851,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02051,    -0.01221,    +1.02197,   -0.01490,    -0.00958,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.01611,    +1.02832,   -0.00745,    -0.01490,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01660,    -0.02197,    +1.01660,   -0.01277,    -0.00851,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01562,    -0.00732,    +1.02539,   -0.01277,    -0.01383,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01318,    -0.01416,    +1.03271,   -0.01064,    -0.01277,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02295,    -0.01758,    +1.02539,   -0.01490,    -0.01596,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.01074,    +1.01807,   -0.01064,    -0.01490,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.02002,    +1.03271,   -0.01171,    -0.01171,    -0.01171,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01221,    -0.01221,    +1.03467,   -0.01171,    -0.01171,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.00635,    +1.02539,   -0.01916,    -0.01064,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02393,    -0.01025,    +1.03369,   -0.01277,    -0.01171,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02051,    -0.01318,    +1.01074,   -0.01171,    -0.01171,    -0.01277,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01660,    -0.00635,    +1.03613,   -0.01171,    -0.00958,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    +0.00146,    +1.02783,   -0.01383,    -0.00745,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01660,    -0.02100,    +1.01807,   -0.01490,    -0.00639,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.00635,    +1.02490,   -0.01277,    -0.01277,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.01660,    +1.02832,   -0.02022,    -0.00532,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01807,    -0.00537,    +1.03076,   -0.01064,    -0.00958,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00879,    -0.00928,    +1.02930,   -0.01490,    -0.01490,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02588,    -0.00977,    +1.02930,   -0.01277,    -0.02235,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02490,    -0.01025,    +1.02832,   -0.01171,    -0.00639,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.02148,    +1.02051,   -0.01277,    -0.00958,    -0.01171,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01807,    -0.00537,    +1.02686,   -0.00958,    -0.01171,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01123,    -0.01416,    +1.02490,   -0.01171,    -0.00851,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00781,    -0.00586,    +1.03564,   -0.01703,    -0.01064,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02441,    -0.01416,    +1.01514,   -0.00745,    -0.00745,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00781,    -0.01660,    +1.03223,   -0.01916,    -0.01490,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01416,    -0.01221,    +1.02734,   -0.01171,    -0.01064,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02148,    -0.01123,    +1.03271,   -0.01277,    -0.01383,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01123,    -0.01514,    +1.02295,   -0.00745,    -0.01064,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00684,    -0.01221,    +1.01807,   -0.01277,    -0.01171,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02344,    -0.01172,    +1.02441,   -0.01171,    -0.01171,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02588,    -0.01562,    +1.03174,   -0.00958,    -0.00958,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01807,    -0.01660,    +1.01807,   -0.00958,    -0.00851,    -0.01277,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00488,    -0.01465,    +1.01709,   -0.01277,    -0.00958,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.01660,    +1.03223,   -0.01171,    -0.01171,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01465,    -0.00928,    +1.02490,   -0.01596,    -0.01064,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00928,    -0.00732,    +1.01758,   -0.01383,    -0.00958,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.01025,    +1.02539,   -0.01490,    -0.00958,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02197,    -0.01465,    +1.03955,   -0.01171,    -0.00958,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.01270,    +1.02002,   -0.01171,    -0.01383,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02539,    -0.01074,    +1.01611,   -0.00851,    -0.01383,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01074,    -0.00879,    +1.03955,   -0.01490,    -0.01383,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01855,    -0.01270,    +1.02832,   -0.01171,    -0.00958,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02490,    -0.01123,    +1.02051,   -0.01171,    -0.00745,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.02002,    +1.02881,   -0.01277,    -0.00851,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02393,    -0.01514,    +1.02002,   -0.00851,    -0.01383,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01660,    -0.01270,    +1.01953,   -0.01171,    -0.00426,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02100,    -0.00195,    +1.02441,   -0.01064,    -0.01596,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.02197,    +1.01025,   -0.01383,    -0.01171,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.02051,    +1.02100,   -0.01383,    -0.00958,    -0.00213,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00439,    -0.01416,    +1.03662,   -0.01064,    -0.01171,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01172,    -0.01807,    +1.02783,   -0.01064,    -0.00532,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01123,    -0.00439,    +1.02539,   -0.01277,    -0.01171,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.00684,    +1.03711,   -0.01383,    -0.01171,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.01025,    +1.00635,   -0.01383,    -0.00958,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.00928,    +1.03906,   -0.01171,    -0.00958,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01855,    -0.00635,    +1.02930,   -0.01703,    -0.01596,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02051,    -0.00098,    +1.02002,   -0.01490,    -0.01703,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02295,    -0.00537,    +1.02881,   -0.01277,    -0.01383,    -0.01277,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02344,    -0.01416,    +1.00977,   -0.01490,    -0.01064,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.00586,    +1.02832,   -0.01490,    -0.01383,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.00928,    +1.02930,   -0.01277,    -0.00639,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.01270,    +1.03027,   -0.01064,    -0.00851,    -0.01171,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.01318,    +1.02148,   -0.01277,    -0.01171,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.00684,    +1.02979,   -0.01277,    -0.01596,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02051,    -0.00098,    +1.03174,   -0.01277,    -0.00851,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.01514,    +1.03564,   -0.01383,    -0.01277,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00830,    -0.01270,    +1.02637,   -0.01490,    -0.01383,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00684,    -0.01465,    +1.01660,   -0.01277,    -0.01383,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.01123,    +1.02197,   -0.01490,    -0.01490,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.01318,    +1.02002,   -0.01383,    -0.00958,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01855,    -0.00293,    +1.02539,   -0.01490,    -0.01171,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.01318,    +1.02441,   -0.01277,    -0.00958,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.01172,    +1.02930,   -0.01064,    -0.01171,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02393,    -0.01270,    +1.01611,   -0.00745,    -0.00745,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01465,    -0.01025,    +1.02686,   -0.01277,    -0.01277,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01807,    -0.00098,    +1.01562,   -0.01064,    -0.01383,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.00977,    +1.01562,   -0.01171,    -0.01596,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01807,    -0.00488,    +1.01904,   -0.01596,    -0.01383,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.01465,    +1.02588,   -0.01383,    -0.01171,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.01123,    +1.01855,   -0.01490,    -0.01064,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01855,    -0.00928,    +1.02393,   -0.01383,    -0.01277,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.00586,    -0.00342,    +1.01270,   -0.01596,    -0.00851,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01807,    -0.00928,    +1.02100,   -0.01596,    -0.01277,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.00879,    +1.02002,   -0.01171,    -0.00958,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.00781,    +1.03662,   -0.01383,    -0.01277,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01318,    -0.00391,    +1.02100,   -0.01277,    -0.01277,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.01318,    +1.01660,   -0.01383,    -0.00958,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02393,    -0.01123,    +1.02539,   -0.01490,    -0.01596,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01416,    -0.00977,    +1.01855,   -0.01064,    -0.00745,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.00537,    +1.03076,   -0.01277,    -0.01277,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01318,    -0.00977,    +1.01172,   -0.01383,    -0.01383,    -0.00213,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.01807,    +1.03027,   -0.01383,    -0.01383,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.01025,    +1.02051,   -0.01490,    -0.01171,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02393,    -0.00000,    +1.02246,   -0.01277,    -0.01277,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02393,    -0.01562,    +1.02930,   -0.01596,    -0.01916,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01611,    -0.00391,    +1.01953,   -0.01596,    -0.01171,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01172,    -0.00537,    +1.01514,   -0.01383,    -0.01596,    -0.00319,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01562,    -0.01221,    +1.03613,   -0.01490,    -0.01064,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01465,    -0.01416,    +1.02002,   -0.01383,    -0.01064,    -0.01171,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.01709,    +1.03027,   -0.01703,    -0.00745,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.00879,    +1.02783,   -0.01490,    -0.01064,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.01270,    +1.02637,   -0.01171,    -0.00958,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01660,    -0.01123,    +1.01953,   -0.01596,    -0.01277,    -0.01171,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01172,    -0.01758,    +1.01855,   -0.01383,    -0.01171,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01465,    -0.01074,    +1.02490,   -0.01171,    -0.01064,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01367,    -0.01416,    +1.01172,   -0.01064,    -0.01064,    -0.00426,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01221,    -0.01660,    +1.03662,   -0.01171,    -0.01490,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.01270,    +1.03760,   -0.01277,    -0.01383,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01758,    -0.00488,    +1.02197,   -0.01277,    -0.01490,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01855,    -0.00537,    +1.01709,   -0.01277,    -0.01064,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02100,    -0.00342,    +1.02979,   -0.01916,    -0.01383,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01416,    -0.00977,    +1.02490,   -0.00745,    -0.00958,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01465,    -0.00732,    +1.04443,   -0.01171,    -0.01171,    -0.00958,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01514,    -0.00684,    +1.02881,   -0.01064,    -0.01064,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02002,    -0.01172,    +1.02930,   -0.01490,    -0.01171,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.01514,    +1.01758,   -0.01490,    -0.00958,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02002,    -0.00732,    +1.02002,   -0.01383,    -0.00958,    -0.01064,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01123,    -0.01758,    +1.03027,   -0.01277,    -0.01277,    -0.00851,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.03760,    -0.00781,    +1.02441,   -0.01064,    -0.00958,    -0.00745,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01904,    -0.01318,    +1.02051,   -0.01383,    -0.00958,    -0.00639,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.01709,    -0.00098,    +1.02734,   -0.01171,    -0.00851,    -0.00532,  -22.63184,   -42.54786,   -36.49336
     69036l,   -0.02734,    -0.00684,    +1.02539,   -0.01916,    -0.01064,    -0.00639,  -22.45078,   -43.09102,   -35.96953
     69036l,   -0.01855,    -0.00928,    +1.02832,   -0.01383,    -0.01064,    -0.00745,  -22.45078,   -43.09102,   -35.96953
     69036l,   -0.01709,    -0.01465,    +1.03027,   -0.01171,    -0.00958,    -0.00745,  -22.45078,   -43.09102,   -35.96953
     69036l,   -0.02002,    -0.01416,    +1.03223,   -0.01383,    -0.01064,    -0.00426,  -22.45078,   -43.09102,   -35.96953
     69036l,   -0.01367,    -0.02197,    +1.03564,   -0.01171,    -0.01064,    -0.00958,  -22.45078,   -43.09102,   -35.96953
